Name,Position,Duration,Server,Returner,A1: 1st Serve Made?,A2: 1st Serve Location,A3: 2nd Serve Made?,A4: 2nd Serve Location,B1: Return Shot,B2: Return Spin,B3: Returm Direction,B4: Return Outcome,C1: Who Won Point?,D1: Winner Type,D2: Spin Winner,D3: Shot Winner,D4: Winner Direction,E1: Opp. Unforced Error Spin,E2: Opp. Unforced Error Shot,E3: Opp. Unforced Error Direction,E4: Opp. Unforced Error Placement,F1: Error Type,F2: Spin Error,F3: Shot Error,F4: Error Direction,F5: Placement Error,G1: Opp. Winner Shot,G2: Opp. Winner Spin,G3: Opp. Winner Direction,Game Score,Set Score,Match Score,Player Handedness,Opponent Handedness,Final Score,Player,Opponent,Opponent School,Location,Date
15-40 (2),4864566,17000,Olive Maunupau,Lina Mueller,Yes,T,,,Backhand,Slice,Cross Court,Defensive,Olive Maunupau,Winner,Topspin,Forehand,Inside Out,,,,,,,,,,,,,15-40,3:0,0:0,Right,Right,,,,,,
30-40 (2),4885966,3533,Olive Maunupau,Lina Mueller,Yes,Body,,,Backhand,Topspin,Down Line,Error,Olive Maunupau,Lina Mueller Unforced Error,,,,Topspin,Backhand Return,Down Line,Long,,,,,,,,,30-40,3:0,0:0,Right,Right,,,,,,
40-40 (2),4907500,29666,Olive Maunupau,Lina Mueller,No,Body,Yes,Body,Backhand,Topspin,Middle,Offensive,Olive Maunupau,Winner,Topspin,Forehand,Cross Court,,,,,,,,,,,,,40-40,3:0,0:0,Right,Right,,,,,,
Advantage Server (1),4945800,14066,Olive Maunupau,Lina Mueller,Yes,Body,,,Backhand,Topspin,Down Line,Offensive,Olive Maunupau,Winner,Topspin,Forehand,Cross Court,,,,,,,,,,,,,Advantage Server,3:0,0:0,Right,Right,,,,,,
0-0 (5),4983133,13500,Olive Maunupau,Lina Mueller,Yes,T,,,Backhand,Topspin,Middle,Neutral,Olive Maunupau,Lina Mueller Unforced Error,,,,Slice,Backhand,Inside Out,Net,,,,,,,,,0-0,0:0,1:0,Right,Right,,,,,,
0-15 (4),5005466,20766,Lina Mueller,Olive Maunupau,Yes,T,,,Forehand,Topspin,Middle,Neutral,Olive Maunupau,Forced Error,Topspin,Backhand,Cross Court,,,,,,,,,,,,,0-15,0:0,1:0,Right,Right,,,,,,
0-30 (1),5028633,25200,Lina Mueller,Olive Maunupau,Yes,Body,,,Backhand,Topspin,Inside Out,Error,Lina Mueller,,,,,,,,,Unforced Error,Topspin,Backhand Return,Inside Out,Long,,,,0-30,0:0,1:0,Right,Right,,,,,,
15-30 (4),5058400,26100,Lina Mueller,Olive Maunupau,No,Wide,Yes,Body,Forehand,Topspin,Middle,Neutral,Olive Maunupau,Winner,Volley,Backhand,Cross Court,,,,,,,,,,,,,15-30,0:0,1:0,Right,Right,,,,,,
15-40 (3),5104433,15933,Lina Mueller,Olive Maunupau,Yes,T,,,Backhand,Slice,Middle,Defensive,Lina Mueller,,,,,,,,,Unforced Error,Topspin,Forehand,Cross Court,Wide,,,,15-40,0:0,1:0,Right,Right,,,,,,
30-40 (3),5129600,17033,Lina Mueller,Olive Maunupau,No,Wide,No,Body,,,,,Olive Maunupau,Lina Mueller Double Fault,,,,,,,,,,,,,,,,30-40,0:0,1:0,Right,Right,,,,,,
0-0 (6),5180566,28966,Olive Maunupau,Lina Mueller,No,Body,No,Body,,,,,Lina Mueller,,,,,,,,,Double Fault,,,,,,,,0-0,1:0,1:0,Right,Right,,,,,,
0-15 (5),5218666,13633,Olive Maunupau,Lina Mueller,Yes,Body,,,Backhand,Topspin,Down Line,Error,Olive Maunupau,Lina Mueller Unforced Error,,,,Topspin,Backhand Return,Down Line,Wide,,,,,,,,,0-15,1:0,1:0,Right,Right,,,,,,
15-15 (4),5234566,19833,Olive Maunupau,Lina Mueller,Yes,T,,,,,,,Olive Maunupau,Winner,Flat,Serve,,,,,,,,,,,,,,15-15,1:0,1:0,Right,Right,,,,,,
30-15 (1),5256866,11366,Olive Maunupau,Lina Mueller,Yes,Body,,,Backhand,Topspin,Down Line,Error,Olive Maunupau,Lina Mueller Unforced Error,,,,Topspin,Backhand Return,Down Line,Wide,,,,,,,,,30-15,1:0,1:0,Right,Right,,,,,,
40-15 (1),5271933,15933,Olive Maunupau,Lina Mueller,Yes,Body,,,Backhand,Topspin,Middle,Neutral,Olive Maunupau,Lina Mueller Unforced Error,,,,Topspin,Backhand,Inside Out,Wide,,,,,,,,,40-15,1:0,1:0,Right,Right,,,,,,
0-0 (7),5407933,8600,Lina Mueller,Olive Maunupau,Yes,Body,,,Forehand,Topspin,Middle,Neutral,Olive Maunupau,Winner,Topspin,Forehand,Cross Court,,,,,,,,,,,,,0-0,2:0,1:0,Right,Right,,,,,,
0-15 (6),5426300,29766,Lina Mueller,Olive Maunupau,No,Body,Yes,Wide,Backhand,Topspin,Middle,Offensive,Olive Maunupau,Winner,Topspin,Forehand,Cross Court,,,,,,,,,,,,,0-15,2:0,1:0,Right,Right,,,,,,
0-30 (2),5486833,22366,Lina Mueller,Olive Maunupau,No,T,Yes,Body,Backhand,Topspin,Inside In,Error,Lina Mueller,,,,,,,,,Unforced Error,Topspin,Backhand Return,Inside In,Wide,,,,0-30,2:0,1:0,Right,Right,,,,,,
15-30 (5),5530633,15100,Lina Mueller,Olive Maunupau,Yes,Body,,,Forehand,Topspin,Inside Out,Neutral,Lina Mueller,,,,,,,,,Unforced Error,Topspin,Backhand,Middle,Long,,,,15-30,2:0,1:0,Right,Right,,,,,,
30-30 (2),5556733,19266,Lina Mueller,Olive Maunupau,Yes,T,,,Backhand,Slice,Middle,Defensive,Olive Maunupau,Lina Mueller Unforced Error,,,,Topspin,Backhand,Inside Out,Net,,,,,,,,,30-30,2:0,1:0,Right,Right,,,,,,
30-40 (5),5582966,25533,Lina Mueller,Olive Maunupau,No,Body,Yes,Body,Forehand,Topspin,Middle,Neutral,Lina Mueller,,,,,,,,,Lina Mueller Winner,,,,,Backhand,Volley,Cross Court,30-40,2:0,1:0,Right,Right,,,,,,
30-40 (4),5584466,27366,Lina Mueller,Olive Maunupau,No,Body,Yes,Body,Forehand,Topspin,Middle,Neutral,Lina Mueller,,,,,,,,,Lina Mueller Winner,,,,,Backhand,Volley,Middle,30-40,2:0,1:0,Right,Right,,,,,,
40-40 (3),5621133,20966,Lina Mueller,Olive Maunupau,No,T,No,Wide,,,,,Olive Maunupau,Lina Mueller Double Fault,,,,,,,,,,,,,,,,40-40,2:0,1:0,Right,Right,,,,,,
Advantage Returner (2),5657100,15633,Lina Mueller,Olive Maunupau,Yes,Body,,,Forehand,Topspin,Inside In,Neutral,Olive Maunupau,Lina Mueller Unforced Error,,,,Slice,Forehand,Down Line,Long,,,,,,,,,Advantage Returner,2:0,1:0,Right,Right,,,,,,
0-0 (8),5685900,8800,Olive Maunupau,Lina Mueller,Yes,T,,,Backhand,Topspin,Middle,Neutral,Olive Maunupau,Forced Error,Topspin,Forehand,Cross Court,,,,,,,,,,,,,0-0,3:0,1:0,Right,Right,,,,,,
15-0 (2),5700833,24866,Olive Maunupau,Lina Mueller,No,Body,Yes,Body,Backhand,Topspin,Down Line,Neutral,Olive Maunupau,Lina Mueller Unforced Error,,,,Topspin,Forehand,Cross Court,Long,,,,,,,,,15-0,3:0,1:0,Right,Right,,,,,,
30-0 (2),5732700,15466,Olive Maunupau,Lina Mueller,Yes,Body,,,Backhand,Topspin,Inside In,Neutral,Olive Maunupau,Forced Error,Volley,Forehand,Down Line,,,,,,,,,,,,,30-0,3:0,1:0,Right,Right,,,,,,
40-0 (2),5761466,38200,Olive Maunupau,Lina Mueller,No,Body,Yes,Wide,Backhand,Topspin,Middle,Neutral,Olive Maunupau,Winner,Topspin,Forehand,Cross Court,,,,,,,,,,,,,40-0,3:0,1:0,Right,Right,,,,,,
